iter	Passed	Remaining
0	48	48653
1	50	24968
2	51	17054
3	52	13077
4	53	10673
5	54	9047
6	55	7924
7	56	7063
8	58	6396
9	59	5856
10	60	5420
11	61	5043
12	62	4721
13	63	4448
14	64	4214
15	65	4008
16	66	3824
17	66	3653
18	67	3500
19	68	3362
20	69	3237
21	70	3127
22	71	3029
23	72	2942
24	73	2863
25	74	2786
26	75	2715
27	76	2648
28	77	2586
29	78	2531
30	79	2477
31	80	2427
32	81	2376
33	81	2327
34	82	2282
35	83	2237
36	84	2196
37	85	2155
38	85	2117
39	86	2081
40	87	2050
41	88	2021
42	89	1992
43	90	1964
44	91	1937
45	92	1911
46	93	1886
47	93	1862
48	94	1837
49	95	1813
50	96	1790
51	97	1768
52	97	1747
53	98	1728
54	99	1711
55	100	1694
56	101	1678
57	102	1662
58	103	1648
59	104	1633
60	105	1619
61	106	1605
62	107	1591
63	107	1577
64	108	1566
65	109	1554
66	110	1541
67	111	1523
68	112	1511
69	112	1500
70	113	1488
71	114	1478
72	115	1467
73	116	1457
74	117	1447
75	118	1435
76	118	1423
77	119	1412
78	120	1401
79	120	1390
80	121	1380
81	122	1370
82	123	1360
83	123	1350
84	124	1337
85	124	1328
86	125	1315
87	126	1306
88	126	1298
89	127	1290
90	128	1283
91	129	1276
92	129	1267
93	130	1259
94	131	1251
95	132	1243
96	132	1236
97	133	1229
98	134	1222
99	135	1216
100	135	1210
101	136	1200
102	137	1194
103	138	1189
104	138	1183
105	139	1178
106	140	1172
107	141	1167
108	142	1163
109	143	1157
110	143	1152
111	144	1148
112	145	1142
113	146	1138
114	147	1133
115	147	1127
116	148	1123
117	149	1119
118	150	1113
119	151	1108
120	152	1104
121	152	1100
122	153	1092
123	153	1087
124	154	1082
125	155	1077
126	155	1072
127	156	1065
128	157	1060
129	157	1056
130	158	1052
131	159	1049
132	160	1045
133	161	1042
134	162	1038
135	162	1034
136	163	1032
137	164	1027
138	165	1024
139	166	1020
140	167	1017
141	167	1014
142	168	1010
143	169	1006
144	170	1003
145	170	999
146	171	995
147	172	992
148	173	989
149	173	985
150	174	982
151	175	978
152	176	974
153	176	971
154	177	968
155	178	965
156	179	961
157	179	958
158	180	955
159	181	952
160	182	949
161	183	946
162	183	944
163	184	941
164	185	939
165	186	937
166	187	933
167	187	930
168	188	927
169	189	924
170	190	921
171	190	918
172	191	915
173	192	913
174	193	911
175	194	909
176	194	906
177	195	904
178	196	901
179	197	900
180	197	895
181	198	892
182	199	889
183	199	886
184	200	884
185	201	881
186	202	878
187	203	877
188	203	875
189	204	872
190	205	871
191	206	869
192	207	867
193	208	865
194	209	862
195	209	860
196	210	858
197	211	855
198	212	853
199	212	851
200	213	848
201	214	845
202	214	843
203	215	841
204	216	838
205	217	836
206	217	834
207	218	832
208	219	831
209	220	829
210	221	827
211	222	825
212	222	823
213	223	822
214	224	820
215	225	818
216	226	816
217	226	813
218	227	811
219	228	808
220	228	806
221	229	805
222	230	803
223	231	802
224	232	800
225	233	798
226	234	797
227	234	795
228	235	793
229	236	792
230	237	790
231	238	788
232	238	786
233	239	784
234	240	782
235	241	780
236	242	779
237	242	777
238	243	775
239	244	774
240	245	772
241	246	770
242	246	769
243	247	767
244	248	766
245	249	765
246	250	764
247	251	762
248	252	761
249	253	759
250	254	758
251	255	757
252	255	755
253	256	753
254	257	752
255	258	750
256	259	749
257	259	747
258	260	746
259	261	744
260	262	742
261	263	741
262	264	740
263	264	738
264	265	737
265	266	735
266	267	734
267	268	732
268	268	730
269	269	729
270	270	728
271	271	727
272	272	725
273	273	724
274	274	722
275	275	721
276	275	720
277	276	718
278	277	717
279	278	716
280	279	714
281	280	713
282	281	712
283	281	710
284	282	709
285	283	707
286	284	706
287	285	705
288	286	703
289	286	702
290	287	701
291	288	699
292	289	698
293	290	696
294	290	695
295	291	693
296	292	691
297	292	690
298	293	688
299	294	686
300	295	685
301	296	684
302	296	683
303	297	681
304	298	680
305	299	679
306	300	678
307	301	677
308	302	675
309	303	674
310	304	673
311	304	672
312	305	671
313	306	669
314	307	668
315	308	667
316	309	666
317	310	664
318	310	663
319	311	662
320	312	661
321	313	659
322	314	658
323	314	656
324	315	655
325	316	653
326	316	652
327	317	651
328	318	649
329	319	648
330	320	647
331	321	646
332	322	645
333	322	643
334	323	642
335	325	642
336	325	641
337	326	639
338	327	638
339	328	637
340	329	636
341	330	634
342	330	633
343	331	632
344	332	631
345	333	630
346	334	629
347	335	628
348	336	627
349	337	626
350	338	625
351	339	624
352	339	623
353	340	621
354	341	620
355	342	619
356	343	618
357	344	617
358	344	615
359	345	614
360	346	613
361	347	612
362	348	611
363	349	610
364	350	609
365	351	608
366	351	606
367	352	605
368	353	604
369	354	603
370	355	602
371	356	601
372	356	600
373	357	598
374	358	597
375	359	596
376	360	595
377	361	594
378	361	592
379	362	591
380	363	590
381	364	589
382	365	588
383	365	586
384	366	585
385	367	584
386	368	583
387	369	582
388	369	580
389	370	579
390	371	578
391	372	577
392	372	576
393	373	574
394	374	573
395	375	572
396	376	571
397	377	570
398	377	569
399	378	568
400	379	567
401	380	566
402	381	564
403	382	563
404	382	562
405	383	561
406	384	560
407	385	559
408	386	558
409	387	557
410	388	556
411	389	555
412	389	554
413	390	553
414	391	551
415	392	550
416	393	549
417	393	548
418	394	546
419	395	546
420	396	544
421	396	543
422	397	542
423	398	541
424	399	540
425	400	539
426	401	538
427	402	537
428	403	536
429	403	535
430	404	534
431	405	533
432	406	531
433	406	530
434	407	529
435	408	528
436	409	527
437	409	525
438	410	524
439	411	523
440	412	522
441	413	521
442	414	520
443	414	519
444	415	518
445	416	517
446	417	516
447	418	515
448	419	514
449	420	513
450	420	512
451	421	511
452	422	510
453	423	509
454	424	507
455	424	506
456	425	505
457	426	504
458	427	503
459	428	502
460	429	501
461	429	500
462	430	499
463	431	498
464	432	497
465	433	496
466	433	495
467	434	494
468	435	493
469	436	492
470	437	491
471	438	490
472	439	489
473	440	488
474	440	487
475	441	486
476	442	485
477	443	484
478	444	483
479	445	482
480	446	481
481	446	480
482	447	479
483	448	478
484	449	477
485	450	476
486	451	475
487	452	474
488	452	473
489	453	472
490	454	471
491	455	470
492	456	469
493	457	468
494	457	467
495	458	466
496	459	465
497	460	464
498	461	463
499	462	462
500	463	461
501	463	460
502	464	459
503	465	458
504	466	457
505	467	456
506	468	455
507	469	454
508	469	453
509	470	452
510	471	450
511	472	449
512	472	448
513	473	448
514	474	447
515	475	446
516	476	445
517	477	443
518	477	442
519	478	441
520	479	440
521	480	439
522	481	438
523	481	437
524	482	436
525	483	436
526	484	435
527	485	434
528	486	433
529	487	432
530	488	431
531	488	430
532	489	429
533	490	428
534	491	427
535	492	426
536	493	425
537	494	424
538	494	423
539	495	422
540	496	420
541	496	419
542	497	418
543	498	417
544	498	416
545	499	415
546	500	414
547	501	413
548	502	412
549	502	411
550	503	410
551	504	409
552	505	408
553	506	407
554	507	406
555	507	405
556	508	404
557	509	403
558	510	402
559	511	401
560	511	400
561	512	399
562	513	398
563	514	397
564	515	396
565	516	395
566	516	394
567	517	393
568	518	392
569	519	391
570	519	390
571	520	389
572	521	388
573	522	387
574	523	386
575	523	385
576	524	384
577	525	383
578	526	382
579	527	381
580	528	380
581	528	379
582	529	378
583	530	377
584	531	376
585	532	376
586	532	374
587	533	374
588	534	373
589	535	372
590	536	371
591	537	370
592	537	369
593	538	368
594	539	367
595	540	366
596	541	365
597	541	364
598	542	363
599	543	362
600	543	361
601	544	360
602	545	359
603	546	358
604	546	357
605	547	356
606	548	355
607	549	354
608	549	353
609	550	352
610	551	351
611	552	350
612	553	349
613	553	348
614	554	347
615	555	346
616	556	345
617	557	344
618	558	343
619	559	342
620	560	341
621	560	340
622	561	339
623	562	339
624	563	338
625	564	337
626	565	336
627	565	335
628	566	334
629	567	333
630	568	332
631	569	331
632	569	330
633	570	329
634	571	328
635	572	327
636	573	326
